********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend,C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend,ug/l,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
marcwwq,P,06/01/2022 00:00,0,1,{CSM},28.6,<0> ,38.12,<0> ,24.1,<0> ,95.0,<0> ,6.4,<0> ,,<-1> ,,,8.2,<0> ,32,<0> ,7.1,<0> ,
marcwwq,P,06/01/2022 00:15,0,1,{CSM},28.6,<0> ,38.12,<0> ,24.1,<0> ,94.4,<0> ,6.4,<0> ,,<-1> ,,,8.2,<0> ,30,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 00:30,0,1,{CSM},28.5,<0> ,38.12,<0> ,24.1,<0> ,93.9,<0> ,6.4,<0> ,,<-1> ,,,8.2,<0> ,31,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 00:45,0,1,{CSM},28.5,<0> ,38.12,<0> ,24.1,<0> ,93.7,<0> ,6.4,<0> ,,<-1> ,,,8.2,<0> ,30,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 01:00,0,1,{CSM},28.5,<0> ,38.12,<0> ,24.1,<0> ,93.1,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,33,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 01:15,0,1,{CSM},28.5,<0> ,38.12,<0> ,24.1,<0> ,92.8,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,30,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 01:30,0,1,{CSM},28.5,<0> ,38.10,<0> ,24.1,<0> ,92.8,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,31,<0> ,6.6,<0> ,
marcwwq,P,06/01/2022 01:45,0,1,{CSM},28.5,<0> ,38.10,<0> ,24.1,<0> ,92.5,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,33,<0> ,7.2,<0> ,
marcwwq,P,06/01/2022 02:00,0,1,{CSM},28.5,<0> ,38.10,<0> ,24.1,<0> ,92.7,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,29,<0> ,6.6,<0> ,
marcwwq,P,06/01/2022 02:15,0,1,{CSM},28.4,<0> ,38.10,<0> ,24.1,<0> ,92.5,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,26,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 02:30,0,1,{CSM},28.4,<0> ,38.10,<0> ,24.1,<0> ,92.1,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,25,<0> ,6.3,<0> ,
marcwwq,P,06/01/2022 02:45,0,1,{CSM},28.4,<0> ,38.09,<0> ,24.1,<0> ,92.6,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,25,<0> ,6.6,<0> ,
marcwwq,P,06/01/2022 03:00,0,1,{CSM},28.4,<0> ,38.10,<0> ,24.1,<0> ,92.5,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,25,<0> ,6.7,<0> ,
marcwwq,P,06/01/2022 03:15,0,1,{CSM},28.3,<0> ,38.12,<0> ,24.1,<0> ,92.5,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,25,<0> ,6.6,<0> ,
marcwwq,P,06/01/2022 03:30,0,1,{CSM},28.3,<0> ,38.13,<0> ,24.1,<0> ,91.6,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,24,<0> ,6.3,<0> ,
marcwwq,P,06/01/2022 03:45,0,1,{CSM},28.3,<0> ,38.13,<0> ,24.1,<0> ,91.0,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,26,<0> ,6.8,<0> ,
marcwwq,P,06/01/2022 04:00,0,1,{CSM},28.3,<0> ,38.12,<0> ,24.1,<0> ,92.2,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,23,<0> ,6.4,<0> ,
marcwwq,P,06/01/2022 04:15,0,1,{CSM},28.3,<0> ,38.11,<0> ,24.1,<0> ,91.6,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,24,<0> ,6.6,<0> ,
marcwwq,P,06/01/2022 04:30,0,1,{CSM},28.3,<0> ,38.11,<0> ,24.1,<0> ,92.0,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,22,<0> ,6.3,<0> ,
marcwwq,P,06/01/2022 04:45,0,1,{CSM},28.3,<0> ,38.11,<0> ,24.1,<0> ,92.0,<0> ,6.3,<0> ,,<-1> ,,,8.2,<0> ,27,<0> ,6.7,<0> ,
marcwwq,P,06/01/2022 05:00,0,1,{CSM},28.3,<0> ,38.12,<0> ,24.1,<0> ,91.4,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,23,<0> ,6.5,<0> ,
marcwwq,P,06/01/2022 05:15,0,1,{CSM},28.3,<0> ,38.14,<0> ,24.1,<0> ,90.9,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,23,<0> ,6.3,<0> ,
marcwwq,P,06/01/2022 05:30,0,1,{CSM},28.2,<0> ,38.14,<0> ,24.1,<0> ,91.1,<0> ,6.2,<0> ,,<-1> ,,,8.2,<0> ,23,<0> ,6.2,<0> ,
