Date,tank,treatment,temp,salinity,DO,pH,time
10/3/2022,1,L,29.8,30.23,6.3,8,am
10/3/2022,1,L,31.7,27.28,6.1,7.93,pwc
10/4/2022,1,L,29.8,27.97,6.4,7.77,am
10/4/2022,1,L,31.9,24.22,6,7.99,pwc
10/5/2022,1,L,31.6,24.63,6.4,7.98,am
10/5/2022,1,L,31.4,20.95,6.6,7.99,pwc
10/6/2022,1,L,32.5,21.2,6.5,8.11,am
10/6/2022,1,L,32.2,18.33,6.6,8.07,pwc
10/7/2022,1,L,33.7,18.46,6.5,8.08,am
10/7/2022,1,L,32.6,16.52,6.3,8.07,pwc
10/8/2022,1,L,33.6,16.66,6.3,8.2,am
10/8/2022,1,L,32.4,13.4,6.8,8.16,pwc
10/9/2022,1,L,33.4,13.58,6.4,8.18,am
10/9/2022,1,L,32.7,10.7,6.9,8.25,pwc
10/10/2022,1,L,34,10.88,6.4,8.19,am
10/10/2022,1,L,32.5,7.74,7,8.13,pwc
10/11/2022,1,L,33.6,7.66,6.8,8.03,am
10/11/2022,1,L,32.8,4.28,6.8,8.38,pwc
10/12/2022,1,L,33.7,4.31,6.9,8.25,am
10/12/2022,1,L,32.8,2.45,7.1,8.62,pwc
10/13/2022,1,L,33.8,2.48,6.8,8.37,am
10/13/2022,1,L,32.3,2.29,7.1,8.59,pwc
10/14/2022,1,L,34.3,2.36,6.8,8.29,am
10/14/2022,1,L,32.8,2.37,7.1,8.53,pwc
10/15/2022,1,L,33.7,2.48,6.7,8.34,am
10/15/2022,1,L,32.5,2.55,7,8.47,pwc
10/16/2022,1,L,34.3,2.74,6.6,8.21,am
10/16/2022,1,L,33.4,2.78,6.6,8.33,pwc
10/17/2022,1,L,33.9,2.76,6.8,8.46,am
10/17/2022,1,L,32.5,2.21,7.1,8.62,pwc
10/18/2022,1,L,32.2,2.3,7,8.37,am
10/18/2022,1,L,32,2.13,7.1,8.58,pwc
10/19/2022,1,L,34.2,2.18,7.2,8.25,am
10/19/2022,1,L,32.3,2.15,7.3,8.54,pwc
10/20/2022,1,L,32.4,2.37,7.4,8.28,am
10/20/2022,1,L,33.8,2.52,7.1,8.29,pwc
10/21/2022,1,L,33.9,2.42,7.3,8.51,am
10/3/2022,2,H,30,30.74,6.3,8,am
10/3/2022,2,H,31.8,32.28,5.9,8.05,pwc
10/4/2022,2,H,29.8,32.38,6.2,8.08,am
10/4/2022,2,H,31.6,33.38,5.7,7.99,pwc
10/5/2022,2,H,31.6,34.03,6.1,8,am
10/5/2022,2,H,32,36.06,6.1,8.02,pwc
10/6/2022,2,H,32.5,36.34,6,8.07,am
10/6/2022,2,H,32.8,38.03,5.9,8.05,pwc
10/7/2022,2,H,33.7,38.41,5.8,8.04,am
10/7/2022,2,H,32.9,39.88,5.8,8,pwc
10/8/2022,2,H,33.5,40.06,5.7,8.06,am
10/8/2022,2,H,33.1,41.5,5.9,8.06,pwc
10/9/2022,2,H,33.4,41.87,5.9,8.08,am
10/9/2022,2,H,32.9,42.66,5.8,8.04,pwc
10/10/2022,2,H,34,43,5.4,8.11,am
10/10/2022,2,H,34.1,42.92,5.6,8.04,pwc
10/11/2022,2,H,33.8,43.87,5.6,7.93,am
10/11/2022,2,H,34.5,45.35,5.4,8.08,pwc
10/12/2022,2,H,33.7,46.43,5.5,8.01,am
10/12/2022,2,H,33.4,49.3,5.6,8.02,pwc
10/13/2022,2,H,33.8,48.83,5.4,7.94,am
10/13/2022,2,H,34.2,49.4,5.4,7.97,pwc
10/14/2022,2,H,34.2,49.75,5.3,7.9,am
10/14/2022,2,H,34.6,49.98,5.4,7.96,pwc
10/15/2022,2,H,34,50.06,5.3,7.99,am
10/15/2022,2,H,34.8,49.53,5.4,8.02,pwc
10/16/2022,2,H,34.5,50.39,5.2,7.98,am
10/16/2022,2,H,33.2,51.27,5.2,8.02,pwc
10/17/2022,2,H,34,51.42,5.2,8.02,am
10/17/2022,2,H,34.6,48.79,5.4,8.14,pwc
10/18/2022,2,H,34.2,49.48,5.4,8.02,am
10/18/2022,2,H,34.6,49.37,5.5,8.06,pwc
10/19/2022,2,H,34.2,50.03,5.5,7.86,am
10/19/2022,2,H,32.9,49.71,5.6,8.03,pwc
10/20/2022,2,H,34.1,49.08,5.5,7.87,am
10/20/2022,2,H,33.9,50.13,5.5,7.81,pwc
10/21/2022,2,H,33.7,50.97,7.3,8,am
10/21/2022,2,H,32.7,49.42,5.7,8.04,pwc
10/22/2022,2,H,31.2,49.52,5.9,8.06,am
10/22/2022,2,H,32,50.45,5.9,8.08,pwc
10/23/2022,2,H,33.4,50.23,6,8.11,am
10/23/2022,2,H,34.1,50.11,6.1,8.1,pwc
10/24/2022,2,H,33.8,49.72,5.5,8.41,am
10/24/2022,2,H,34.3,48.8,5.4,8.22,pwc
10/25/2022,2,H,34.2,49.16,5.5,8.07,am
10/25/2022,2,H,31.8,48.48,5.7,8.15,pwc
10/3/2022,3,C,30,30.43,6.3,8.04,am
10/3/2022,3,C,32,30.6,6.2,7.89,pwc
10/4/2022,3,C,29.7,30.7,6.3,8.07,am
10/4/2022,3,C,31.3,30.65,6.3,7.99,pwc
10/5/2022,3,C,31.6,30.74,6.3,8.02,am
10/5/2022,3,C,32.2,29.83,6.3,8.03,pwc
10/6/2022,3,C,32.9,30.44,6.1,8.12,am
10/6/2022,3,C,33.1,30.2,6.2,8.04,pwc
10/7/2022,3,C,33.9,30.82,6,8.14,am
10/7/2022,3,C,33.4,30.13,6,7.99,pwc
10/8/2022,3,C,33.7,30.95,6,8.09,am
10/8/2022,3,C,33.3,29.59,6.2,8.04,pwc
10/9/2022,3,C,33.4,30.39,6.1,8.15,am
10/9/2022,3,C,33.2,30.17,6.2,8.05,pwc
10/10/2022,3,C,34,30.85,6,8.17,am
10/10/2022,3,C,33.6,29.55,6.1,8.04,pwc
10/11/2022,3,C,34.1,30.77,6,8.02,am
10/11/2022,3,C,34.1,30.5,5.9,8.06,pwc
10/12/2022,3,C,33.9,31.37,6,8.05,am
10/12/2022,3,C,33.9,30.03,6.1,8.03,pwc
10/13/2022,3,C,34.2,31.02,5.9,7.98,am
10/13/2022,3,C,33.8,30.3,6,7.99,pwc
10/14/2022,3,C,34.2,31.21,5.9,7.96,am
10/14/2022,3,C,34.4,31.01,6,7.96,pwc
10/15/2022,3,C,34.4,31.76,5.9,8.03,am
10/15/2022,3,C,34.2,30.18,6,8.02,pwc
10/16/2022,3,C,34.4,31.1,5.8,8.02,am
10/16/2022,3,C,34,31.22,5.8,8.01,pwc
10/17/2022,3,C,34.3,31.38,5.9,8.06,am
10/17/2022,3,C,33.7,29.07,6,8.09,pwc
10/18/2022,3,C,34.2,29.7,6.1,8,am
10/18/2022,3,C,34.3,29.51,6.1,8.02,pwc
10/19/2022,3,C,34.3,30.42,6.1,7.85,am
10/19/2022,3,C,33,30.24,6.2,7.79,pwc
10/20/2022,3,C,33.9,31.23,6.1,8.11,am
10/20/2022,3,C,32.6,31.56,6.1,8.06,pwc
10/21/2022,3,C,33.9,31.56,6,8.11,am
10/21/2022,3,C,32.6,29.61,6.3,8.06,pwc
10/22/2022,3,C,32,29.48,6.6,8.11,am
10/22/2022,3,C,32.1,29.48,6.5,8.12,pwc
10/23/2022,3,C,33.2,29.74,6.7,8.08,am
10/23/2022,3,C,34,29.79,6.5,8.12,pwc
10/24/2022,3,C,33.9,30.83,6,8.2,am
10/24/2022,3,C,34.1,28.77,5.9,8.17,pwc
10/25/2022,3,C,30.6,29.96,6.3,8.07,am
10/25/2022,3,C,32,30.33,6.2,8.08,pwc
10/3/2022,4,L,29.8,30.52,6.4,8.08,am
10/3/2022,4,L,32.1,27.87,6.2,7.9,pwc
10/4/2022,4,L,29.8,28.12,6.5,8.03,am
10/4/2022,4,L,32.1,24.58,6.4,8.01,pwc
10/5/2022,4,L,31.6,24.9,6.4,8.15,am
10/5/2022,4,L,31.9,21.23,6.5,8.03,pwc
10/6/2022,4,L,32.9,21.61,6.5,8.21,am
