tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B498,NNP-2-CCB,CCB,N,51,VSO,7,L,Y,10/16/2022,
B499,NNP-2-CCB,CCB,N,42,VSO,2,H,Y,10/7/2022,
B500,NNP-2-CCB,CCB,N,43,O,4,L,Y,10/16/2022,
B501,NNP-2-CCB,CCB,N,39,SO,3,C,,,
B502,NNP-2-CCB,CCB,N,39,C,5,H,Y,10/23/2022,
B503,NNP-2-CCB,CCB,N,50,O,5,H,Y,10/15/2022,
B504,NNP-2-CCB,CCB,N,40,O,1,L,Y,10/17/2022,
B505,NNP-2-CCB,CCB,N,47,C,7,L,Y,10/16/2022,
B506,NNP-2-CCB,CCB,N,51,VSO,12,C,Y,10/12/2022,
B507,NNP-2-CCB,CCB,N,35,O,5,H,Y,10/16/2022,
B508,NNP-2-CCB,CCB,N,39,O,7,L,Y,10/18/2022,
B509,NNP-2-CCB,CCB,N,49,VSO,9,L,Y,10/18/2022,
B510,NNP-2-CCB,CCB,N,40,VSO,6,H,Y,10/16/2022,
B511,NNP-2-CCB,CCB,N,41,O,11,H,Y,10/4/2022,
B512,NNP-2-CCB,CCB,N,42,VSO,2,H,Y,10/12/2022,
B513,NNP-2-CCB,CCB,N,38,VSO,3,C,,,
B514,NNP-2-CCB,CCB,N,37,SO,8,C,Y,10/7/2022,
B515,NNP-2-CCB,CCB,N,37,SO,9,L,Y,10/17/2022,
B516,NNP-2-CCB,CCB,N,42,O,6,H,Y,10/16/2022,
B517,NNP-2-CCB,CCB,N,39,G,4,L,Y,10/13/2022,
B518,NNP-2-CCB,CCB,N,35,O,12,C,Y,10/24/2022,
B519,NNP-2-CCB,CCB,N,,G,,,Y,9/23/2022,Dead before tank assignment
B520,NNP-2-CCB,CCB,N,37,VSO,4,L,Y,10/16/2022,
B521,NNP-2-CCB,CCB,N,49,S,3,C,Y,11/1/2022,
B522,NNP-2-CCB,CCB,N,41,S,5,H,Y,10/10/2022,
B523,NNP-2-CCB,CCB,N,39,VSO,10,C,Y,10/14/2022,
B524,NNP-2-CCB,CCB,N,47,O,6,H,Y,10/16/2022,
B525,NNP-2-CCB,CCB,N,44,S,4,L,Y,10/17/2022,
B526,NNP-2-CCB,CCB,N,39,O,8,C,Y,10/18/2022,
B527,NNP-2-CCB,CCB,N,38,SO,12,C,Y,10/16/2022,
B528,NNP-2-CCB,CCB,N,42,C,11,H,Y,10/10/2022,
B530,NNP-2-CCB,CCB,N,44,VSO,11,H,Y,10/23/2022,
B532,NNP-2-CCB,CCB,N,35,VSO,10,C,Y,11/1/2022,
B533,NNP-2-CCB,CCB,N,35,SO,10,C,Y,10/18/2022,
B534,NNP-2-CCB,CCB,N,31,SO,2,H,Y,10/25/2022,
B535,NNP-2-CCB,CCB,N,50,O,9,L,Y,10/4/2022,
B536,NNP-2-CCB,CCB,N,36,SO,1,L,Y,10/16/2022,
B537,NNP-2-CCB,CCB,N,42,C,3,C,Y,11/3/2022,
B538,NNP-2-CCB,CCB,N,44,SO,8,C,Y,10/14/2022,
B539,NNP-2-CCB,CCB,N,32,O,11,H,Y,10/18/2022,
B540,NNP-2-CCB,CCB,N,40,S,1,L,Y,10/16/2022,
B541,NNP-2-CCB,CCB,N,39,VSO,2,H,Y,10/18/2022,
B542,NNP-2-CCB,CCB,N,33,O,12,C,,,
B543,NNP-2-CCB,CCB,N,48,C,1,L,Y,10/23/2022,
B544,NNP-3-CCB,CCB,N,49,S,5,H,Y,10/14/2022,
B545,NNP-3-CCB,CCB,N,38,C,11,H,Y,10/19/2022,
B546,NNP-3-CCB,CCB,N,53,VSO,5,H,Y,10/12/2022,
B547,NNP-3-CCB,CCB,N,48,O,4,L,Y,10/19/2022,
B548,NNP-3-CCB,CCB,N,50,O,7,L,Y,10/16/2022,
B549,NNP-3-CCB,CCB,N,56,O,1,L,Y,10/16/2022,
B550,NNP-3-CCB,CCB,N,48,SO,6,H,Y,10/17/2022,
B551,NNP-3-CCB,CCB,N,42,VSO,10,C,,,
B552,NNP-3-CCB,CCB,N,47,O,2,H,Y,10/5/2022,
B553,NNP-3-CCB,CCB,N,44,SO,12,C,Y,11/3/2022,
B554,NNP-3-CCB,CCB,N,42,C,1,L,Y,10/16/2022,
B555,NNP-3-CCB,CCB,N,39,VSO,3,C,,,
B556,NNP-3-CCB,CCB,N,46,C,4,L,Y,10/18/2022,
B557,NNP-3-CCB,CCB,N,37,C,4,L,Y,10/16/2022,
B558,NNP-3-CCB,CCB,N,40,C,2,H,Y,10/19/2022,
B559,NNP-3-CCB,CCB,N,42,VSO,6,H,Y,10/31/2022,
B560,NNP-3-CCB,CCB,N,45,O,11,H,Y,10/20/2022,
